time,open,high,low,close,volume
2024-05-14,306.5899,306.8763,298.6324,299.0944,0.0
2024-05-15,299.1184,299.1184,56.0319,125.9877,1622.4184
2024-05-16,126.2096,135.9017,115.3512,121.3809,607.5978
2024-05-17,121.3523,155.1706,121.1276,155.0148,3652.7338
2024-05-18,154.9806,158.2124,153.2687,153.4837,373.5125
2024-05-19,153.7855,154.2011,131.1693,131.2023,62.1891
2024-05-20,131.1619,180.1993,130.316,179.8312,3838.4025
2024-05-21,179.2549,187.2398,161.5933,175.4555,5427.2855
2024-05-22,174.9387,175.5937,170.3789,173.4447,413.224
2024-05-23,173.4884,174.3359,151.3331,154.5366,1327.1974
2024-05-24,154.8939,158.6487,112.2657,156.2765,24767.3461
2024-05-25,156.2478,166.3063,155.609,163.7549,4093.1122
2024-05-26,163.8755,165.7257,157.2854,161.7368,4404.4296
2024-05-27,161.8294,165.7878,156.3607,156.6769,32347.7486
2024-05-28,156.6961,157.6039,150.2323,155.3197,1543.3892
2024-05-29,155.0493,156.5352,146.7134,148.8988,524.5483
2024-05-30,148.618,158.8194,146.2686,156.0625,62824.6523
2024-05-31,155.698,162.9262,155.5677,159.5199,10792.7406
2024-06-01,159.5303,167.8032,158.3042,159.6605,1529290.2092
2024-06-02,159.6415,159.9209,156.2458,156.2981,230.3482
2024-06-03,156.4535,156.4535,149.3979,149.7847,260782.6087
2024-06-04,149.5729,149.8564,140.7782,142.706,884320.8294
2024-06-05,142.7821,142.8301,137.0509,139.3602,356135.3958
2024-06-06,139.4267,140.1653,122.4056,122.4056,806261.1806
2024-06-07,121.0529,121.0529,84.8614,108.26,655479.5049
2024-06-08,108.1387,109.0987,105.6746,108.4756,138611.1861
2024-06-09,108.6399,109.385,107.7899,108.0878,2705.8877
2024-06-10,108.0441,109.8168,105.1466,105.1466,271775.9632
2024-06-11,104.9682,104.9682,98.2067,99.2333,170386.9085
2024-06-12,99.1996,101.6567,95.9868,101.6152,80183.2858
2024-06-13,101.298,101.298,97.0037,97.8888,0.0
2024-06-14,97.9797,99.1384,96.2624,96.2624,138328.5635
