time,open,high,low,close,volume
2024-04-21,647.104,647.104,636.7711,643.7387,0.0
2024-04-22,641.9767,698.6912,455.0659,501.5257,83441.8914
2024-04-23,501.1792,565.6567,473.955,519.7644,415136.7305
2024-04-24,529.9332,532.66,392.5288,419.1685,54779.572
2024-04-25,419.8114,453.1684,295.0726,416.2262,1055449.1371
2024-04-26,416.0235,416.5625,352.1433,352.4155,252760.6107
2024-04-27,352.2012,371.3987,342.4988,348.858,112365.4406
2024-04-28,350.502,378.9425,349.309,366.5432,116794.6325
2024-04-29,367.1937,369.7389,336.3239,338.6499,168611.1354
2024-04-30,337.1312,343.9932,315.8004,322.5202,182042.4666
2024-05-01,323.9856,323.9856,297.2038,309.5759,149158.8736
2024-05-02,310.1395,314.0625,302.1184,307.4501,7248.338
2024-05-03,307.9257,310.5089,288.8253,310.5068,70056.8745
2024-05-04,309.6724,319.9593,306.3549,306.3549,25216.2163
2024-05-05,307.3614,307.3614,297.0289,300.053,15999.5132
2024-05-06,300.7588,307.953,266.5234,267.5196,91153.9267
2024-05-07,267.4792,276.2261,265.8048,267.2933,8703.2915
2024-05-08,266.3235,269.0084,251.2674,253.2313,5321.4939
2024-05-09,253.8977,256.2527,248.0111,252.2307,81.0663
2024-05-10,252.0181,253.2683,239.7449,240.9922,1281.4564
2024-05-11,241.5332,244.6372,239.6187,243.2058,173.6461
2024-05-12,242.6343,251.4504,242.4769,248.2263,34680.2915
2024-05-13,248.1183,252.2203,240.8944,243.1234,5237.6037
2024-05-14,243.693,244.3648,236.1911,238.7079,9060.1832
2024-05-15,238.0563,250.9676,236.8191,250.9639,6302.4201
2024-05-16,250.3244,251.1817,234.5422,235.6152,50798.6132
2024-05-17,236.226,248.5971,233.4091,246.6315,7230.5701
2024-05-18,246.7113,255.3843,245.9493,254.5829,30861.3743
2024-05-19,254.9651,254.9651,245.0303,245.3126,44178.1817
2024-05-20,245.0253,290.1071,240.4576,290.0937,14232.9891
2024-05-21,287.9159,335.3865,270.7719,331.9842,528102.2091
2024-05-22,330.2832,335.9213,318.4723,329.7161,85231.1135
2024-05-23,329.4103,334.5223,309.8386,317.3548,29656.0732
2024-05-24,317.0822,323.7704,289.2153,294.0167,3326.1628
2024-05-25,293.524,296.1897,287.2941,287.4635,74.839
2024-05-26,288.4527,297.4992,285.6522,291.6858,932.9382
2024-05-27,292.243,301.1549,245.9407,264.0364,42548.1833
2024-05-28,264.7105,266.9655,255.8919,258.9804,1090.4938
2024-05-29,257.6996,264.0723,256.6907,258.6809,8826.4747
2024-05-30,257.8687,259.7219,250.0936,254.6826,6670.947
2024-05-31,254.8504,265.1748,252.7588,258.4089,111373.646
2024-06-01,259.3591,263.3998,258.3315,259.4404,278768.483
2024-06-02,258.9542,261.5267,256.007,257.3432,2058.7459
2024-06-03,257.6821,259.7524,248.5869,248.9099,17482.8849
2024-06-04,248.4722,249.0019,240.8267,248.4327,2738.9825
2024-06-05,248.0491,249.4208,242.937,246.4815,38542.108
2024-06-06,247.697,247.9213,215.3663,215.3663,0.0
2024-06-07,215.7185,216.9333,205.5698,208.2919,509650.7854
